index,site,x,y,thermalSensitivity,intercept,rSquared,adjRSquared,rmse,meanStreamTemp,meanAirTemp,sdStreamTemp,sdAirTemp,minStreamTemp,maxStreamTemp,minAirTemp,maxAirTemp,rangeStreamTemp,rangeAirTemp,Stream_Nam,GPS_lat_,GPS_long_,GRIDCODE,Max7DADM,SLOPE,Solar,Elev,BFI,h2oDevelop,h2oLakesPe,h2oAgricul,h2oBurnPer,h2oRdDens,h2oHiCascP,h2oWetland,h2oVegCov,h2oVegHt,Forest21,Shrub21,h2oKm2,BurnRCA,AgricultRC,WetlandsRC,LakesRCA,HiCascRCA,DevelopRCA,RoadsRCA,VegCover,VegHeight_,DevelopBuf,AgBuf,BurnBuf,WetlandBuf,LakesBuf,HiCascBuf,RoadsBuf,VegHtBuf,VegCovBuf,MeanMaxAir,MaxAir_C,Precip_mm,SumPrecip,MeanAirJJA,WetPrecip
1,20606618,-122.40823,45.41688,0.372,10.336,0.78,0.776,0.606,17.993,20.608,1.281,3.045,14.995,20.611,13.527,28.861,5.616,15.334,NOYER CREEK,45.4169,-122.4082,480247,21.6891,0.0523,0.2075,152.993,49.15,0.3146,4e-4,0.5058,0,2.6057,0,0.0194,8.583,2.5804,0.0962,0.0385,5.5205,0,0.235,0.0083,0,0,0.6348,3.8917,7.0332,2.4332,0.2887,0.2517,0,0.0317,0,0,3.2702,10.9469,28.8151,26.9997,28.7062,1276.4918,148.0833,19.4596,986.5457
2,20201001A,-122.505561,45.412205,0.286,9.787,0.752,0.748,0.509,15.931,21.491,1.015,3.078,13.537,17.794,14.462,29.475,4.257,15.013,ROCK CREEK,45.4122,-122.5056,479873,19.5,0.0225,0.1241,48.6914,48.79,0.4124,0.0011,0.294,0,4.8808,0,0.0057,17.6822,5.7284,0.2411,0.0105,22.3582,0,0.2323,0.0088,0.0023,0,0.6037,7.0372,10.2419,3.328,0.2612,0.1136,0,0.0435,8e-4,0,1.6065,13.8093,35.6126,27.6428,29.479,1189.3262,120.6506,20.2685,939.8628
3,20739670,-122.46305,45.40452,0.298,11.922,0.602,0.595,0.748,18.145,20.859,1.175,3.056,15.428,19.957,13.845,29.065,4.529,15.22,RICHARDSON CREEK,45.4045,-122.463,480282,21.5143,0.0299,0.2348,79.4581,48.74,0.4008,9e-4,0.3409,0,3.3295,0,0.0112,16.5096,5.5037,0.1491,0.0104,8.9729,0,0.3094,0.0202,0.0012,0,0.2452,2.1817,25.4278,9.1051,0.0604,0.0858,0,0.15310000000000001,0.0039,0,1.6267,16.5793,45.1442,27.3292,29.1157,1235.7558,134.3734,19.8556,973.8447
4,10808797,-122.36005,45.40405,0.346,9.688,0.669,0.663,0.743,16.821,20.608,1.28,3.024,13.978,18.929,13.562,28.874,4.951,15.313,TICKLE CREEK,45.404,-122.36,479764,22.2641,0.0126,0.0333,111.158,50.14,0.1931,0.0034,0.4066,0,3.6912,0,0.0097,21.0455,7.6759,0.3071,0.0349,33.0867,0,0.3656,0.0048,0.0021,0,0.0477,1.9467,30.9661,11.4215,0.041,0.0066,0,0.0175,0.0034,0,2.9697,20.7923,56.5795,26.9006,28.5274,1309.6235,157.1713,19.3581,1024.618
5,10808805,-122.41055,45.39362,0.449,9.666,0.77,0.766,0.755,19.333,21.544,1.561,3.052,15.784,22.154,14.431,29.379,6.37,14.947,DEEP CREEK,45.3936,-122.4106,479776,24.8926,0.0093,0.114,58.8847,49.97,0.1143,0.0031,0.3662,0,2.5851,0,0.0108,27.6198,10.1056,0.4452,0.0495,81.0344,0,0.0677,4e-4,0,0,0.0304,0.7782,46.3267,17.6173,0.0022,0.0497,0,0.0037,0,0,0.2551,18.7418,49.5771,27.5518,29.3522,1239.2937,135.8584,20.2469,979.7952
6,10808801,-122.41122,45.39357,0.439,9.287,0.744,0.739,0.794,18.75,21.544,1.555,3.052,15.291,21.482,14.431,29.379,6.191,14.947,NORTH FORK DEEP CREEK,45.3936,-122.4112,479819,24.4474,0.02,0.1596,60.273,49.98,0.1677,0.0026,0.6298,0,2.7863,0,0.0166,10.9098,3.7447,0.1379,0.0219,36.7737,0,0.3832,1e-4,0,0,0.0335,1.1754,29.2724,10.5551,0,0.0356,0,0.0019,0,0,0,22.7009,59.8485,27.0271,28.7165,1275.6514,148.4417,19.5066,989.1417
7,20739665,-122.49387,45.38967,0.524,10.468,0.72,0.715,1.012,21.655,21.369,1.898,3.076,17.118,24.827,14.383,29.412,7.709,15.029,CLEAR CREEK,45.3897,-122.4939,479599,27.65,0.0164,-0.0992,28.7229,50,0.0498,0.0014,0.2446,0.0347,1.2956,0,0.0066,37.0097,13.3348,0.4641,0.2257,187.7693,0,0.1324,0.025,0,0,0.2777,5.023,28.4712,10.0515,0.1916,0.0877,0,0.2275,7e-4,0,4.6298,12.3873,34.8963,27.5203,29.3108,1239.0678,130.4894,20.1747,974.7761
8,20941701,-122.44833,45.38392,0.266,15.071,0.448,0.439,0.913,20.808,21.573,1.219,3.07,17.502,22.2,14.528,29.466,4.698,14.938,CLACKAMAS RIVER,45.3839,-122.4483,479532,24.2983,0.0025,-0.0217,37.4715,49.42,0.0149,0.0057,0.0535,0.0943,1.4073,0.174,0.0076,54.651,20.3812,0.7221,0.1913,2177.7042,0,0.3966,0.0618,0.0023,0,0.1189,2.3845,20.2978,6.963,0.0415,0.12,0,0.1815,0.0076,0,1.3135,7.7289,24.7514,27.6241,29.4555,1221.3693,130.6881,20.3487,972.4293
9,10808789,-122.44763,45.38262,0.409,9.9,0.725,0.721,0.778,18.716,21.573,1.473,3.07,15.402,21.229,14.528,29.466,5.827,14.938,FOSTER CREEK,45.3826,-122.4476,480462,23.7494,0.0099,-0.2863,42.2901,50.05,0.0484,0.0016,0.5069,0.0109,1.3897,0,0.0099,24.2355,8.9912,0.2044,0.0673,10.8379,0,0.5203,0.0106,0.0011,0,0.0503,1.4518,22.9057,8.1534,0.0697,0.3767,0,0.0309,0.0011,0,1.6817,9.8367,26.7539,27.5272,29.3286,1252.2547,137.315,20.2457,992.3274
10,9946236,-122.32695,45.37425,0.452,8.383,0.76,0.756,0.781,17.551,20.265,1.581,3.046,14.176,20.676,13.055,28.587,6.5,15.532,DEEP CREEK,45.3743,-122.327,479861,23.3173,0.0145,0.118,160.507,50.62,0.0488,0.0039,0.2688,0,1.4669,0,0.0097,35.9423,13.1373,0.484,0.0621,29.4118,0,0.3984,0.0061,0.0033,0,0.0805,2.867,29.3309,10.9458,0.049,0.0209,0,0.0328,0.0037,0,2.59,20.8073,53.6504,26.9024,28.5417,1305.8587,152.8339,19.3878,1021.5232
