Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,channel_slope,solar_exposure,elevation_m,base_flow_index,summer_mean_max_air_temp_c,summer_max_air_temp_c,annual_precip_mm,summer_precip_mm,summer_mean_air_temp_c,wet_season_precip_mm
thermal_sensitivity,NA,3.9968028886505635e-15,0.00499454453155157,0.01637724288961051,0.08714190897937946,2.2497559371004172e-11,1.7763568394002505e-15,0.08356172363544734,0.5464096578772697,1.3025879301631349e-5,1.3738524200657132e-4,7.236219488115925e-4,8.180568918270126e-6
mean_stream_temp_c,3.9968028886505635e-15,NA,3.029102702001296e-8,9.585692026803372e-7,0.32078239939094066,0,0,1.2755929132524102e-5,0.06366163817839343,3.2683931117105658e-9,0.04829315783425914,2.5366597711240502e-11,1.2558891704372854e-9
mean_air_temp_c,0.00499454453155157,3.029102702001296e-8,NA,1.2526525667433397e-4,0.30547510286648105,2.674608090558195e-9,1.27878306299678e-6,0,0,1.0890843782362936e-11,6.129499952622908e-5,0,3.284128524683183e-11
channel_slope,0.01637724288961051,9.585692026803372e-7,1.2526525667433397e-4,NA,0.16444782744640896,1.656329193844286e-5,0.012243679322325285,3.061910034887205e-4,0.007760923536966002,0.0013659723649648292,0.2745557055324457,4.975426009412587e-6,0.0021716015862898175
solar_exposure,0.08714190897937946,0.32078239939094066,0.30547510286648105,0.16444782744640896,NA,0.06111425403769721,0.017432451573204943,0.38995131975300024,0.8693150980147761,0.09158896116984128,0.3434563422860113,0.07932186143605247,0.08191733387658418
elevation_m,2.2497559371004172e-11,0,2.674608090558195e-9,1.656329193844286e-5,0.06111425403769721,NA,0,2.0790434573925154e-7,0.011642054477671637,0,0.25712590262023904,3.9968028886505635e-15,0
base_flow_index,1.7763568394002505e-15,0,1.27878306299678e-6,0.012243679322325285,0.017432451573204943,0,NA,3.0411740501445905e-5,0.11131488787610966,1.3322676295501878e-15,0.02950241845793089,1.76596204326529e-9,4.440892098500626e-16
summer_mean_max_air_temp_c,0.08356172363544734,1.2755929132524102e-5,0,3.061910034887205e-4,0.38995131975300024,2.0790434573925154e-7,3.0411740501445905e-5,NA,0,8.180123245438153e-13,5.057966934174374e-9,0,4.1744385725905886e-12
summer_max_air_temp_c,0.5464096578772697,0.06366163817839343,0,0.007760923536966002,0.8693150980147761,0.011642054477671637,0.11131488787610966,0,NA,1.7491301060879039e-6,0,3.064215547965432e-14,4.467879257674667e-6
annual_precip_mm,1.3025879301631349e-5,3.2683931117105658e-9,1.0890843782362936e-11,0.0013659723649648292,0.09158896116984128,0,1.3322676295501878e-15,8.180123245438153e-13,1.7491301060879039e-6,NA,0.04291729198062666,0,0
summer_precip_mm,1.3738524200657132e-4,0.04829315783425914,6.129499952622908e-5,0.2745557055324457,0.3434563422860113,0.25712590262023904,0.02950241845793089,5.057966934174374e-9,0,0.04291729198062666,NA,0.0012892260335721772,0.07567918459500689
summer_mean_air_temp_c,7.236219488115925e-4,2.5366597711240502e-11,0,4.975426009412587e-6,0.07932186143605247,3.9968028886505635e-15,1.76596204326529e-9,0,3.064215547965432e-14,0,0.0012892260335721772,NA,4.440892098500626e-16
wet_season_precip_mm,8.180568918270126e-6,1.2558891704372854e-9,3.284128524683183e-11,0.0021716015862898175,0.08191733387658418,0,4.440892098500626e-16,4.1744385725905886e-12,4.467879257674667e-6,0,0.07567918459500689,4.440892098500626e-16,NA
