Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,developed_upstream_pct,lakes_upstream_pct,agricultural_upstream_pct,burned_upstream_pct,road_density_upstream,high_cascades_upstream_pct,wetlands_upstream_pct,veg_cover_upstream_pct,veg_height_upstream_m,forest_upstream_pct,shrub_upstream_pct,upstream_area_km2
thermal_sensitivity,1,0.767,0.327,0.679,-0.154,0.649,-0.244,-0.025,-0.778,0.236,-0.486,-0.659,-0.407,0.018,-0.004
mean_stream_temp_c,0.767,1,0.597,0.673,0.035,0.657,-0.024,0.175,-0.605,0.343,-0.463,-0.608,-0.371,0.122,0.319
mean_air_temp_c,0.327,0.597,1,0.589,-0.003,0.609,-0.202,0.505,-0.131,0.368,-0.383,-0.344,-0.143,-0.217,0.235
developed_upstream_pct,0.679,0.673,0.589,1,0.015,0.936,-0.439,0.467,-0.595,0.525,-0.668,-0.758,-0.498,-0.217,-0.182
lakes_upstream_pct,-0.154,0.035,-0.003,0.015,1,0.023,0.461,0.167,0.314,0.584,-0.182,-0.09,-0.108,0.441,0.391
agricultural_upstream_pct,0.649,0.657,0.609,0.936,0.023,1,-0.43,0.448,-0.566,0.541,-0.664,-0.734,-0.507,-0.233,-0.182
burned_upstream_pct,-0.244,-0.024,-0.202,-0.439,0.461,-0.43,1,-0.279,0.324,-0.135,-0.088,0.064,-0.199,0.871,0.45
road_density_upstream,-0.025,0.175,0.505,0.467,0.167,0.448,-0.279,1,0.091,0.423,-0.285,-0.291,-0.25,-0.329,-0.08
high_cascades_upstream_pct,-0.778,-0.605,-0.131,-0.595,0.314,-0.566,0.324,0.091,1,-0.136,0.407,0.617,0.452,0.126,0.312
wetlands_upstream_pct,0.236,0.343,0.368,0.525,0.584,0.541,-0.135,0.423,-0.136,1,-0.407,-0.401,-0.27,-0.057,0.062
veg_cover_upstream_pct,-0.486,-0.463,-0.383,-0.668,-0.182,-0.664,-0.088,-0.285,0.407,-0.407,1,0.906,0.845,-0.258,0.257
veg_height_upstream_m,-0.659,-0.608,-0.344,-0.758,-0.09,-0.734,0.064,-0.291,0.617,-0.401,0.906,1,0.848,-0.151,0.275
forest_upstream_pct,-0.407,-0.371,-0.143,-0.498,-0.108,-0.507,-0.199,-0.25,0.452,-0.27,0.845,0.848,1,-0.321,0.379
shrub_upstream_pct,0.018,0.122,-0.217,-0.217,0.441,-0.233,0.871,-0.329,0.126,-0.057,-0.258,-0.151,-0.321,1,0.373
upstream_area_km2,-0.004,0.319,0.235,-0.182,0.391,-0.182,0.45,-0.08,0.312,0.062,0.257,0.275,0.379,0.373,1
